param n:= 102; 
param m:= 4; 
param t_max:= 85.0; 
param: utility:= 
0 0
1 26
2 29
3 27
4 31
5 27
6 36
7 30
8 28
9 36
10 26
11 41
12 35
13 26
14 27
15 13
16 19
17 16
18 16
19 12
20 19
21 23
22 20
23 19
24 12
25 17
26 11
27 18
28 17
29 16
30 16
31 21
32 23
33 11
34 14
35 16
36 18
37 16
38 13
39 14
40 18
41 18
42 13
43 19
44 20
45 25
46 25
47 15
48 25
49 18
50 13
51 14
52 23
53 16
54 11
55 15
56 22
57 20
58 11
59 12
60 17
61 10
62 7
63 3
64 5
65 9
66 8
67 2
68 9
69 3
70 6
71 9
72 8
73 5
74 8
75 9
76 5
77 5
78 7
79 1
80 10
81 9
82 2
83 6
84 7
85 3
86 10
87 9
88 6
89 5
90 9
91 8
92 3
93 6
94 7
95 9
96 3
97 1
98 2
99 10
100 9
101 0
; 
param time: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 := 
0  0.0 20.62 36.06 17.46 33.97 34.21 27.8 43.93 17.8 21.38 27.59 23.02 35.36 18.38 12.04 22.36 25.0 32.02 25.5 33.54 15.0 11.18 32.02 29.15 15.81 32.02 18.03 26.93 11.18 5.0 6.32 25.5 34.0 24.76 36.06 42.43 31.89 29.15 16.97 4.47 22.8 9.06 25.5 25.5 49.93 40.5 43.86 39.66 22.47 27.78 15.65 19.7 25.55 23.32 21.1 9.0 20.25 14.87 15.26 17.2 24.04 15.23 18.0 11.18 21.21 26.25 30.41 30.41 31.62 30.0 33.54 29.83 41.04 41.4 21.21 11.18 28.86 25.5 34.18 35.47 26.93 11.31 30.46 29.21 23.19 18.03 34.93 46.52 12.17 21.1 20.12 24.6 31.06 21.1 24.33 19.24 32.25 25.61 18.38 21.26 17.49 0.0 
1  20.62 0.0 47.17 27.2 48.47 26.93 22.09 39.05 8.49 41.98 46.65 8.06 16.28 17.69 11.4 42.72 41.23 50.0 33.54 35.36 35.36 15.81 20.0 11.18 11.18 30.0 31.62 36.06 30.0 22.36 26.93 39.05 43.83 43.91 55.9 26.93 16.49 12.04 36.24 22.02 42.01 21.38 6.71 29.41 66.47 54.82 57.7 56.64 34.93 38.95 36.06 40.16 45.69 17.0 7.07 12.08 6.71 11.66 7.62 13.45 12.37 32.2 23.85 10.0 20.62 13.93 29.15 10.0 46.1 50.25 50.99 50.45 59.41 32.7 11.18 25.5 35.47 20.12 28.16 22.2 44.05 17.69 48.51 42.05 24.76 4.47 40.8 47.0 27.8 34.06 31.78 35.36 50.99 41.59 4.12 24.6 40.31 11.0 10.63 9.85 6.4 20.62 
