Instance	StoProfit
Sto	p2.4.h	4.00
Sto	p2.4.h	6.60
Sto	p2.4.h	9.80
Sto	p2.4.h	10.00
Sto	p2.4.h	5.20
Sto	p2.4.h	2.80
Sto	p2.4.h	8.00
Sto	p2.4.h	7.60
Sto	p2.4.h	5.20
Sto	p2.4.h	4.00
Sto	p2.4.h	5.10
Sto	p2.4.h	5.00
Sto	p2.4.h	7.50
Sto	p2.4.h	7.35
Sto	p2.4.h	7.60
Sto	p2.4.h	5.85
Sto	p2.4.h	5.95
Sto	p2.4.h	8.70
Sto	p2.4.h	10.25
Sto	p2.4.h	7.80
Sto	p2.4.h	7.99
Sto	p2.4.h	5.64
Sto	p2.4.h	8.08
Sto	p2.4.h	6.81
Sto	p2.4.h	6.35
Sto	p2.4.h	6.76
Sto	p2.4.h	7.14
Sto	p2.4.h	7.24
Sto	p2.4.h	6.19
Sto	p2.4.h	7.10
Sto	p2.4.h	7.23
Sto	p2.4.h	6.55
Sto	p2.4.h	6.87
Sto	p2.4.h	6.45
Sto	p2.4.h	7.34
Sto	p2.4.h	6.30
Sto	p2.4.h	7.23
Sto	p2.4.h	7.28
Sto	p2.4.h	7.21
Sto	p2.4.h	6.56
Sto	p2.4.h	7.12
Sto	p2.4.h	7.52
Sto	p2.4.h	6.81
Sto	p2.4.h	6.72
Sto	p2.4.h	7.21
Sto	p2.4.h	6.81
Sto	p2.4.h	6.80
Sto	p2.4.h	7.23
Sto	p2.4.h	6.59
Sto	p2.4.h	7.12
Sto	p2.4.h	7.00
Sto	p2.4.h	6.55
Sto	p2.4.h	6.77
Sto	p2.4.h	7.00
Sto	p2.4.h	7.14
Sto	p2.4.h	7.10
Sto	p2.4.h	7.12
Sto	p2.4.h	6.61
Sto	p2.4.h	7.05
Sto	p2.4.h	6.67
Sto	p2.4.h	7.24
Sto	p2.4.h	6.81
Sto	p2.4.h	6.82
Sto	p2.4.h	6.80
Sto	p2.4.h	6.91
Sto	p2.4.h	6.84
Sto	p2.4.h	7.04
Sto	p2.4.h	6.98
Sto	p2.4.h	6.83
Sto	p2.4.h	7.10
Sto	p2.4.h	6.97
Sto	p2.4.h	7.02
Sto	p2.4.h	7.05
Sto	p2.4.h	6.83
Sto	p2.4.h	6.86
Sto	p2.4.h	6.91
Sto	p2.4.h	6.79
Sto	p2.4.h	6.78
Sto	p2.4.h	6.96
Sto	p2.4.h	6.95
Sto	p2.4.h	6.90
Sto	p2.4.h	6.86
Sto	p2.4.h	6.83
Sto	p2.4.h	7.01
Sto	p2.4.h	6.97
Sto	p2.4.h	6.90
Sto	p2.4.h	6.85
Sto	p2.4.h	7.03
Sto	p2.4.h	6.98
Sto	p2.4.h	6.88
